times,suhu_sealing_vertikal_bawah,suhu_sealing_vertikal_atas,suhu_sealing_horizontal_depan,suhu_sealing_horizontal_belakang,output_time_sec
2024-04-17 10:46:15,209.4,174.5,174.5,209.3,7233.0
2024-04-17 10:52:15,209.5,174.5,174.4,209.4,7206.0
2024-04-17 10:53:15,209.5,174.3,174.4,209.5,7205.0
2024-04-17 11:01:15,209.5,174.5,174.4,209.5,7203.0
2024-04-17 11:12:42,209.7,174.8,174.5,209.6,7214.0
2024-04-17 11:13:43,209.5,174.5,174.5,209.5,7215.0
2024-04-17 11:14:43,209.5,174.7,174.5,209.5,7213.0
2024-04-17 11:23:27,209.5,174.2,174.6,209.5,10852.0
2024-04-17 11:24:27,209.5,174.3,174.5,209.6,10852.0
2024-04-17 11:31:27,209.5,174.5,174.5,209.5,10847.0
2024-04-17 12:52:29,209.3,174.8,174.8,209.3,14441.0
2024-04-17 12:53:29,209.3,175.2,174.7,209.4,14441.0
2024-04-17 12:59:29,209.5,174.7,174.5,209.5,14441.0
2024-04-17 13:00:30,209.5,174.5,174.5,209.4,14441.0
2024-04-17 13:06:30,209.5,174.5,174.4,209.4,14442.0
2024-04-17 13:07:29,209.4,174.5,174.4,209.4,14442.0
2024-04-17 13:12:28,209.5,174.6,174.5,209.4,14440.0
2024-04-17 13:13:28,209.4,174.4,174.5,209.4,14440.0
2024-04-17 13:19:28,209.4,174.3,174.4,209.5,14440.0
2024-04-17 13:20:28,209.4,174.4,174.4,209.4,14438.0
2024-04-17 13:24:28,209.5,174.4,174.4,209.5,18030.0
2024-04-17 13:26:28,209.5,174.3,174.5,209.4,18023.0
2024-04-17 13:27:28,209.5,174.4,174.5,209.5,18019.0
2024-04-17 13:28:28,209.5,174.5,174.5,209.4,18019.0
2024-04-17 13:49:30,209.5,174.6,174.5,209.4,18023.0
2024-04-17 13:50:30,209.5,174.6,174.6,209.5,18023.0
2024-04-17 13:57:30,209.5,174.5,174.5,209.5,18023.0
2024-04-17 14:05:30,209.6,174.5,174.4,209.5,18003.0
2024-04-17 14:13:30,209.5,174.9,174.4,209.4,18000.0
2024-04-17 14:20:30,209.5,174.8,174.5,209.4,18047.0
2024-04-17 14:21:30,209.5,174.4,174.5,209.5,18047.0
2024-04-17 14:29:30,209.5,174.3,174.5,209.5,21638.0
2024-04-17 14:37:31,209.5,174.3,174.4,209.5,21605.0
2024-04-17 14:44:29,209.5,174.4,174.5,209.5,21642.0
2024-04-17 14:51:29,209.5,174.8,174.5,209.5,21641.0
2024-04-17 14:52:29,209.5,174.7,174.5,209.5,21641.0
2024-04-17 14:59:29,209.5,174.6,174.4,209.5,21639.0
2024-04-17 15:07:29,209.4,174.4,174.5,209.5,21640.0
2024-04-17 15:13:29,209.5,174.5,174.5,209.5,21608.0
2024-04-17 15:15:29,209.5,174.3,174.5,209.5,28.0
2024-04-17 15:29:30,209.4,174.3,174.5,209.5,20.0
2024-04-17 15:37:29,209.6,174.5,174.5,209.6,19.0
2024-04-17 15:44:29,209.5,174.7,174.5,209.5,5.0
2024-04-17 15:45:30,209.5,174.5,174.5,209.5,5.0
2024-04-17 16:03:30,209.5,174.7,174.6,209.5,39.0
2024-04-17 16:04:30,209.5,174.8,174.7,209.5,38.0
2024-04-17 16:05:30,209.6,174.7,174.7,209.5,39.0
2024-04-17 17:14:31,209.4,175.0,175.0,209.4,3610.0
2024-04-17 17:19:31,209.5,175.1,174.7,209.5,3608.0
2024-04-17 17:20:31,209.5,174.9,174.6,209.4,3608.0
2024-04-17 17:27:31,209.5,174.7,174.5,209.5,3607.0
2024-04-17 17:34:31,209.6,174.6,174.5,209.5,7259.0
2024-04-17 17:35:31,209.5,174.3,174.4,209.5,7259.0
2024-04-17 17:42:31,209.4,174.3,174.5,209.5,7227.0
